rating,,review_text,
5,,Great 👍,
1,,plz whats up unban,
1,,my contact didn't show on WhatsApp .. for privacy I can't share screenshot please solve it,
1,,"Can you guys let archived group chats stay archived? I archived it for a reason, so please stop bringing them up again. Thanks.",
5,,it is the g.o.a.t🇿🇼,
5,,hii sir good morning sorry 😔,
5,,my account problem,
1,,please please enable that feature in which we can see anyones about status🙏,
5,,whatsapp no work,
5,,This app is awesome,
1,,WhatsApp,
3,,personalized ringtone for specific contacts seemed to have stopped working and glitched into using the general ringtone that is used for every contact in general,
5,,love the app,
1,,Please bring back reminders 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,
3,,why is my WhatsApp account always having issues,
5,,"my application suddenly stopped and showing account no longer, what's it's mean, and how I can recover my WhatsApp account.",
1,,call quality very bad every time reconnecting,
5,,lugganda hadih and alphabetically,
3,,"My name is Ajay Pagare. I was notified that my account is banned from using WhatsApp. I have reviewed the Terms of Service and believe my activity complies with all guidelines. I have not engaged in spam, bulk messaging, or any prohibited behavior. ​Being unable to access my account is causing significant disruption. I kindly request a manual review of my account status and ask for the ban to be lifted. ​Sincerely, Ajay Pagare",
1,,I'm giving you guys this one-star review because of the pictures I post on my WhatsApp status. The quality always reduces and it is a very terrible thing which I don't like,
5,,I have been using a WhatsApp for a long time it is better app for communication but today my WhatsApp is not working plz help me what should I do I need help,
2,,slow updating,
1,,open WhatsApp,
1,,I want to use my WhatsApp to busines,
5,,"this is literally the best messaging app. Now I see why everyone prefers it. it offers so many cool features, and u can chat with all ur friends on WhatsApp cuz there's no one who doesn't use WhatsApp",
5,,"Please help, the video is not downloading on my WhatsApp.",
1,,"I need help, i forgot my whatsapp 64 digit encryption key. please help me recover it",
4,,it was awesome 👍 I love this app ❤️,
1,,"Disgusting features! The new ""About"" update which allows a short share and then it expires immediately is just frustrating! I'm deleting WhatsApp forever!",
1,,To me it is poor because it doesn't want to accept my second number,
1,,very poor can't open on my old phone,
5,,not for spam for personal use,
